,information
0,['크라운 참쌀선과']
1,['설명없음']
2,"직장동료들과 정기적으로 구매해서 먹고 있어요~~^♡^
한 달에 한번씩, 또는 두 달에 한번씩은 구매하고 있는 것 같아요~♡

중독성 강해용ㅎㅎ
넘 맛있어요~
어릴 때 부터 꾸준히 먹던..ㅎㅎ
누구 하나 싫어하는 사람없이 너무 맛나게 잘 먹고있네용^^
한 번에 먹을 적당한 양으로 포장이 되어있어 더욱 좋아요♡
개별포장 위생적인게 넘 맘에 들어요♡♡
외출할 때 한두개 챙겨가기도 좋아요^^

우리 아이들과 신랑도 좋아하는 간식이에요~
조금 짠 맛이 있어서 식전에는 비추ㅎㅎ
바삭거리고 맛나긴한데.. 부스러기 많이 생겨요ㅋㅋ
우리 애들은 한 번 먹음 온통 부스러기 천지~~


항상 마트에서 직접 사거나 배달을 시켰었는데..
마트 배달도 어짜피 담날이나 그 담날 수령가능해서..
어떤 때엔 쿠팡이 빠를 때가 있어요~*

가격도 마트보다 훨씬 착하구요♡

무겁게 들고 다닐필요없이 집안까지 배송되니 최고에용ㅎㅎ
종류도 다양합니다^^

배송하는 쿠팡맨역시 왕 친절♡♡
전 쿠팡 넘넘 사랑하는 유저~~*

혹, 교환 반품으로 인한 상담도 역시나 친절^^

로켓배송은 일정구매금액 되야해서..
잘 맞춰 구매해야합니다^^
예전엔 9,800원이상이었는데ㅜㅠ

매달 꾸준히 구매하니..
재구매 의사는 당연히 100%-200%!!

각 물건마다 개당, 그람 별 가격비교도 쉽게 할 수 있는게 쿠팡의 아주 큰 장점이종♡♡

다들 맛있는 간식 챙겨가세용^^♡"
3,"참쌀 선과는 오래전부터 아주 유명한 제품이에요
주로 어르신들이 좋아하는 과자쯤으로 알려져 있지만
어르신 뿐만 아니라 남녀노소 누구나 다 좋아해요

왜냐면 이 과자가 참 짭짤하니 맛있거든요
한개를 개봉하면 타원형의 과자 2개가 들어 있는데
한입 혹은 두 입에 쏙 들어가는 크기에요

근데 이게 정말 멈출 수가 없는 맛이라는거..
간장맛 같기도 하고 소금맛 같기도 한 이 맛은
정말 우리 한국인이 가장 좋아하는 간의 세기? 같아요

저 뿐만 아니라 대부분의 사람들이 이거 한자리에서
한개만 까먹지 않을겁니다 ㅎ
한 봉 까면 멈출 수 없느 맛.
절대 멈출 수 없는 맛이에요.

자기 의지로 조절하지 않으면 다 까먹을 수도 있는 맛.
위험한 맛입니다

고소하고 짭잘하고 환상의 맛입니다
가격도 착해서 종종 구매했었는데
오랜만에 구매해서 먹으니 역시나 맛있네요"
4,"2010원

115g (20봉지 × 5.75g)

560 kcal

봉지당 25 kcal

제조국: 중국


=======================================


이 과자 잘 안 시키려고 해요. 손 대면 한봉지 그냥 순삭이거든요. 방금도 열자마자 7봉지 먹었어요. 한 팩에 20봉지 들어있는데... ㅜㅜ

고소하고 짭조름 달콤한게 진짜 중독이에요.

미주엔 왕왕? 브랜드로 들어오는데 대용량으로 사놓으면 며칠 못 가요.

특히 뭐 딴짓하면서 한 개씩 뜯어먹다보면 봉지가 순식간에 비어요. 남는게 없어...

다 좋는데 단점이 하나 있다면 딱딱해서 좀 많이 먹었다 싶은 날엔 입천장 아파요. ㅋㅋㅋ

그리고 중국에서 제조된 상품이라 쌀 원산지 확인이 안된다는게 또 하나의 단점 같네요.

그런거 다 제치고도 가끔 먹고 싶어서 사게 되는 맛 같아요. ㅎㅎㅎ

(다이어트 하시는 분들은 드시지 마세요. 손이랑 머리랑 따로 놉니다. ㅜㅜ)"
5,"이 제품 사서 먹는다고 할매할배 아닙니다ㅠㅠ
제가 이 제품을 종종 구매했었는데
어머니가 그러시네요 할머니 입맛이라고 ㅎ

과자 이름이 그래서 그런가요?
뭐 상관없구 맛있습니다 ㅎㅎ
진짜 어떤 과자보다 핵맛있습니다

초코파이 홈런볼 칙촉 새우깡 포테이토칩 등
쟁쟁한 과자들이 많고 각기 다른 매력이
있지만 항상 생각나는 과자는 이거에요

참쌀 선과..
아니 뭘 넣어서 이리 맛있죠??
단짠은 아니고요
고짠? 고소하고 짭짤한 맛
간장인가요?

한국인의 입맛에 너무 잘 맞는것 같아요
이걸 끊기가 힘들어요
한 봉지만 까먹어야지 했는데
어느새 제 발 옆엔 까까봉지가 수북이 쌓여가요

한번에 4-5개 남기고 다 먹은 적도 있어요
뭔가 살도 안찌는 기분이라 자꾸 먹는 것 같아요

그 어떤 포테이토칩 보다도 맛있어요
너무 맛있어서 멈출 수 없는맛 ㅠㅠ"
6,"오랜만에 쌀과자 구매했는데 이렇게
작은건줄 몰랐네요~
그래도 아이는 오랜만에 먹어서 그런지
맛있다고 잘먹네요~~
단짠단짠 아주 딱좋대요~ ㅋㅋ"
7,찹쌀 설병있었는데 아이가 초록이 다 맛있다고 시켜주었어요^^ 예상보다 많이 맛있어요 ~~ 간식으로 하나씩 꺼내먹으면 좋을 껏 같아요 ㅎㅎ 생각 보다 되게 많이 들어있내요 금방 사라질 것 같아요
8,"대표적인 쌀과자 다들 아시죠.
늘 즐겼던 과자인데 처음으로 쿠팡에 주문 했습니다.
가격이 엄청 싸다 싶었는데 과자의 싸이즈가 적은거네요.
제가 욕심을 부린거죠 큭큭.
조미가 좀 강하게 된 과자입니다.
그야말로 단짠 단짠의 대표 주자입니다.
처음에는 끝맛이 미원 인줄 알았습니다.
크라운 이니까 믿고 먹기는 합니다.
전 이맛의 중독성 강한 면이 좋아요.
건강 생각 하시는 분들께는 추천 안할람니다."
9,맛 만족도 괜찮아요
10,"요즘에 코로나19땜시 밖으로

못나가고 있을때 이렇게 좋은것으로나

구매를 할수가 있어서 좋은것 같아요."
11,맛 만족도 예상보다 맛있어요
12,"♡주문일 2020 0212
♡구입가격2300원
♡제조국 중국
♡용량115
♡제조일 2019 1212
♡사용기한 2020 0911

♡구매동기♡
재구매상품입니다
아들이 좋아하는 과자라서 구매하고 잇어요
짭 쪼름해서 한번 손가면 계속 먹게되는것 같아요
참쌀과자는 쌀과자를 전문으로 생산하고있는 대만의 왕왕그룹과 공동으로 협력 개발한 제품이라고 하네요
잘먹고 다음에도 재구매 하겟습니다"
13,맛 만족도 예상보다 맛있어요
14,"♡주문일 2020 0203
♡구입가격 1870원
♡제조국중국
♡용량115
♡제조일 2019 1211
♡유통기한 2020 0910

♡구매이유♡
재구매 상품입니다
아들이 좋아하는 과자라서 구매하고잇어요
지난번구매햇을때는2300원이엇는데
가격이 내렷네요
짭쪼름해서 자꾸 손이 가네요
참쌀 과자는 쌀과자를 전문으로생산하는 대만의 왕왕그룹과 공도므로 협력 개발한 제품이라고 하네요
잘먹겟습니다"
15,"한번 먹으면 멈출수 없는
마성의 쌀과자
이 제품을 회사가 여러곳인데
이 초록색 포장의 쌀과자가 이곳저곳에서 더 많이 접할수 있고(홈플러스나 슈퍼에는 초록색 회사 제품이 많고
코스트코나 초대형 마트가시면 빨간색 회사 제품이 있습니다)

맛은 이제품이 양념도 더 많이 묻어있달까나 좀더 짭짤 합니다
빨간색 포장의 쌀과자 회사꺼는 좀더 싱겁습니다(양념이 조금 덜 묻은 느낌)
개인적으로는 빨간색 포장의 회사것이 더 좋지만
(양념이 적절한듯 모자란듯 해서 더 안달나게 하는 맛)
쿠팡에는 이 초록색 화사꺼만 파네요
슈퍼에서 파는 기타 다른회사 제품은 비추 입니다
(맛의차이에서 기술의 차이를 느꼈어요)
짭잘한 프링글스를 좋아하신다면
이 초록색 회사의 쌀과자가 입에 잘 맞으실 거에요
바삭하고!
평소 프링글스가 짜서 양념을 털어내고 드셨다면
이 초록색 회사 말고 빨간샏 회사 제춤의 쌀과자 드셔 보세요!
특히 어르신들이 좋아합니다"
